ID,SubjectID,UniqueID,SP,TwinID,MilkDataProcessed_SubjectID,Sex,Race,Year,HowOftenDrinkMilk,DrinkMilk,TestDate,TestingDay,TestingAge,Status_SelfReported,Status_Genotyped,MZDZ,Same_sex,Co_TwinID,HigherFatMilk_temp,LowerFatMilk_temp,TotalCorrect,Correct_FatFirst,Correct_FatSecond,Pyrophosphate_Sweet,Pyrophosphate_Salty,Pyrophosphate_Sour,Pyrophosphate_Bitter,Pyrophosphate_Burn,Pyrophosphate_Like,Pyrophosphate_Intense,Sucralose_Sweet,Sucralose_Salty,Sucralose_Sour,Sucralose_Bitter,Sucralose_Burn,Sucralose_Like,Sucralose_Intense,Chip_1_Fatty,Chip_1_Salty,Chip_1_Crispy,Chip_1_Like,Chip_2_Fatty,Chip_2_Salty,Chip_2_Crispy,Chip_2_Like,Chip_3_Fatty,Chip_3_Salty,Chip_3_Crispy,Chip_3_Like,Chip_4_Fatty,Chip_4_Salty,Chip_4_Crispy,Chip_4_Like,Odor_1_Smell,Odor_1_Like,Odor_1_Intense,Odor_2_Smell,Odor_2_Like,Odor_2_Intense,Menthol_Sweet,Menthol_Salty,Menthol_Sour,Menthol_Bitter,Menthol_Burn,Menthol_Cool,Menthol_Liking,Menthol_Intense,Capsaicin_Sweet,Capsaicin_Salty,Capsaicin_Sour,Capsaicin_Bitter,Capsaicin_Burn,Capsaicin_Cool,Capsaicin_Liking,Capsaicin_Intense,2.5%CornOilNoFA_Fatty,2.5%CornOilNoFA_Salty,2.5%CornOilNoFA_Crispy,2.5%CornOilNoFA_Liking,15%CornOilNoFA_Fatty,15%CornOilNoFA_Salty,15%CornOilNoFA_Crispy,15%CornOilNoFA_Liking,5%CornOilNoFA_Fatty,5%CornOilNoFA_Salty,5%CornOilNoFA_Crispy,5%CornOilNoFA_Liking,10%CornOilNoFA_Fatty,10%CornOilNoFA_Salty,10%CornOilNoFA_Crispy,10%CornOilNoFA_Liking,5%CornOil_02%Palmitic_Fatty,5%CornOil_02%Palmitic_Salty,5%CornOil_02%Palmitic_Crispy,5%CornOil_02%Palmitic_Liking,2.5%CornOil_02%Palmitic_Fatty,2.5%CornOil_02%Palmitic_Salty,2.5%CornOil_02%Palmitic_Crispy,2.5%CornOil_02%Palmitic_Liking,Water_Cool1,Sucrose_Cool2,NaCl_Cool3,PTC_Cool9,PTC_Bitter9,PTC_Intense9,PTC_Like9,Stevia_Like17,Sucrose_Like2,Sucrose_Sweet2
1,TWA001,TW-1,1,1,,F,1,,,,8/8/2009,Saturday,53,MZ,,MZ,Same,TWA002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5.5,5.8,,2.3,5.5
2,TWA002,TW-2,1,2,,F,1,,,,8/8/2009,Saturday,53,MZ,,MZ,Same,TWA001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4.5,0,,4,2.5
3,TWA003,TW-3,1,1,,F,1,,,,8/8/2009,Saturday,31,MZ,,MZ,Same,TWA004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,3.8,0,,7.4,6.6
4,TWA004,TW-4,1,2,,F,1,,,,8/8/2009,Saturday,31,MZ,,MZ,Same,TWA003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,3.8,0,,7.4,7
5,TWA005,TW-5,1,1,,F,1,,,,8/8/2009,Saturday,22,MZ,,MZ,Same,TWA006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.4,1.5,,6,5.3
6,TWA006,TW-6,1,2,,F,1,,,,8/8/2009,Saturday,22,MZ,,MZ,Same,TWA005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,3.8,2.3,,6.8,6.2
7,TWA007,TW-7,1,1,,F,1,,,,8/8/2009,Saturday,33,MZ,,MZ,Same,TWA008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.6,,2.8,4
8,TWA008,TW-8,1,2,,F,1,,,,8/8/2009,Saturday,33,MZ,,MZ,Same,TWA007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,0.2,,4,4.7
9,TWA009,TW-9,1,1,,F,1,,,,8/8/2009,Saturday,27,MZ,,MZ,Same,TWA010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,7.2,0.2,,4,6.6
10,TWA010,TW-10,1,2,,F,1,,,,8/8/2009,Saturday,27,MZ,,MZ,Same,TWA009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5.7,0.6,,4.2,3
